f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,y
0.0,0.0,0.0,0.0,0.0,0.016850452236401935,0.013157894736842105,0.0,0.0,0.2972972972972973,0.0,0.0,0.0,0.0,0.9474,0.0,0.47959183673469385,0.0,0.6363636363636364,0.5,0.0
0.09419964979668745,0.00907511102529446,0.0,1.0,0.04510638297880001,0.0018585057613678603,0.11842105263157894,0.038461538461538464,0.005649717514124294,0.05405405405405406,0.125,0.0,0.08571428571428572,0.09487555586598682,0.8571,0.08550573514077162,0.6612244897959185,0.2608695652173913,0.5454545454545454,0.5,0.0
0.0032101981948450733,0.0005792624058698591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.09090909090909091,0.02857142857142857,0.0016064818048473844,1.0,0.0,0.6959183673469389,0.4782608695652174,0.0,1.0,0.0
0.09263050153531219,0.0,0.0,0.0,0.0,0.005947218436377153,0.0,0.0,0.0423728813559322,0.0,0.011363636363636364,0.0,0.0,0.04635514889059626,0.5,0.0,0.6510204081632653,0.8260869565217391,0.1818181818181818,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.28174947342336765,0.0,0.0,0.03389830508474576,0.05405405405405406,0.0,0.0,0.0,0.0,0.6667,0.0,0.3938775510204082,0.9130434782608695,0.09090909090909091,1.0,0.0
0.0716827951986601,0.0036879706507047696,0.0,0.0,0.056544502618,0.0028497088340973856,0.06578947368421052,0.038461538461538464,0.011299435028248588,0.08108108108108109,0.045454545454545456,0.0,0.05714285714285714,0.1006262950804405,0.8235,0.12513034410844628,0.6020408163265307,0.8695652173913043,0.5454545454545454,1.0,1.0
0.0015236810272634225,0.007626955010619811,0.0,0.0,0.07594936708880001,0.0012390038409119068,0.013157894736842105,0.0,0.0,0.0,0.045454545454545456,0.36363636363636365,0.11428571428571428,0.0020022816698097834,0.875,0.06777893639207506,0.6306122448979592,0.7391304347826086,0.36363636363636365,0.5,0.0
0.001849353307899879,0.007626955010619811,0.0,0.0,0.07594936708880001,0.002106306529550242,0.013157894736842105,0.0,0.0,0.0,0.045454545454545456,0.2727272727272727,0.11428571428571428,0.0021652580847943007,0.875,0.06777893639207506,0.6306122448979592,0.21739130434782608,0.4545454545454545,0.5,0.0
0.011142644458918768,0.0014481560146746477,0.0,0.0,0.16,0.0013629042250030976,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.05714285714285714,0.006495774254382902,1.0,0.11418143899895722,0.616326530612245,0.6521739130434783,0.1818181818181818,1.0,1.0
0.012608169721782823,0.0011585248117397182,0.0,0.0,0.0,0.409366869037294,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.05714285714285714,0.008404926544201533,1.0,0.0,0.679591836734694,0.5652173913043478,0.7272727272727273,1.0,0.0
